row_index,label,algorithm,feature_space
2211,1,clara_k8,text_pca64_only
2212,0,clara_k8,text_pca64_only
2220,1,clara_k8,text_pca64_only
2225,0,clara_k8,text_pca64_only
2226,1,clara_k8,text_pca64_only
2235,0,clara_k8,text_pca64_only
2245,1,clara_k8,text_pca64_only
2259,7,clara_k8,text_pca64_only
2267,3,clara_k8,text_pca64_only
2268,7,clara_k8,text_pca64_only
2271,1,clara_k8,text_pca64_only
2280,2,clara_k8,text_pca64_only
2286,1,clara_k8,text_pca64_only
2287,3,clara_k8,text_pca64_only
2290,0,clara_k8,text_pca64_only
2298,7,clara_k8,text_pca64_only
2299,7,clara_k8,text_pca64_only
2300,2,clara_k8,text_pca64_only
2309,7,clara_k8,text_pca64_only
2316,2,clara_k8,text_pca64_only
2318,6,clara_k8,text_pca64_only
2320,0,clara_k8,text_pca64_only
2322,2,clara_k8,text_pca64_only
2323,0,clara_k8,text_pca64_only
2327,3,clara_k8,text_pca64_only
2333,6,clara_k8,text_pca64_only
2338,0,clara_k8,text_pca64_only
2339,2,clara_k8,text_pca64_only
2349,3,clara_k8,text_pca64_only
2351,1,clara_k8,text_pca64_only
2357,2,clara_k8,text_pca64_only
2360,2,clara_k8,text_pca64_only
2362,2,clara_k8,text_pca64_only
2371,6,clara_k8,text_pca64_only
2372,0,clara_k8,text_pca64_only
2375,0,clara_k8,text_pca64_only
2376,6,clara_k8,text_pca64_only
2388,0,clara_k8,text_pca64_only
2390,6,clara_k8,text_pca64_only
2391,6,clara_k8,text_pca64_only
2398,2,clara_k8,text_pca64_only
2403,6,clara_k8,text_pca64_only
2409,6,clara_k8,text_pca64_only
2417,1,clara_k8,text_pca64_only
2428,0,clara_k8,text_pca64_only
2430,1,clara_k8,text_pca64_only
2436,2,clara_k8,text_pca64_only
2437,2,clara_k8,text_pca64_only
2439,6,clara_k8,text_pca64_only
2441,2,clara_k8,text_pca64_only
2442,0,clara_k8,text_pca64_only
2447,1,clara_k8,text_pca64_only
2449,2,clara_k8,text_pca64_only
2450,2,clara_k8,text_pca64_only
2465,1,clara_k8,text_pca64_only
