feature_space,algorithm,k,fit_n_rows,eval_n_rows,coverage_pct,n_clusters,silhouette_cosine,silhouette_euclidean,dbi,calinski_harabasz,inertia,negative_silhouette_pct,silhouette_p10,silhouette_p25,silhouette_median,silhouette_p75,silhouette_p90,largest_cluster_pct,top3_cluster_pct,top5_cluster_pct,min_cluster_size,median_cluster_size,max_cluster_size,normalized_entropy,gini,n_clusters_lt_100,n_clusters_lt_500,low_interpretability_clusters,publisher_warning_count,stock_warning_count,notes,base_score,silhouette_cosine_score,dbi_score,negative_silhouette_pct_score,normalized_entropy_score,largest_cluster_pct_score,n_clusters_lt_500_score,publisher_warning_count_score,stock_warning_count_score,mean_ARI,mean_NMI,mean_ARI_score,mean_NMI_score,final_score
text_pca128_lexical_w010,MiniBatchKMeans,40,100000,10000,100.0,40,0.049015499651432,-0.0317212045192718,4.1062778843866985,37.44680511111585,11240600.0,50.07,-0.0817013584077358,-0.043583414517343,-0.000111827517685,0.0664625037461519,0.2391915902495386,7.756,19.652,29.196,32,2301.0,7756,0.91417595636101,0.431011,1,7,0,21,0,,0.702066514606091,0.5975239889923557,0.6190622417162951,0.69906129210381,0.8014879268357533,0.7921645127204746,0.8157894736842105,0.7435897435897436,1.0,,,,,0.702066514606091
text_pca256_lexical_w005_l2,MiniBatchKMeans,48,100000,10000,100.0,48,0.0640827640891075,0.0429221391677856,5.1050927053961965,29.49260731495083,88210.5703125,45.39,-0.0455352656543254,-0.0243050218559801,0.006924616638571,0.0779605936259031,0.2383662730455399,5.794,16.528000000000002,26.046000000000003,389,1587.5,5794,0.9429558520119335,0.3730958333333334,0,1,1,27,0,,0.6953975529242217,0.7203219565442495,0.20761310798797847,0.7852015461071231,0.8812670284773365,0.8719011623181337,0.9736842105263158,0.5897435897435898,1.0,,,,,0.6953975529242217
text_pca256_lexical_w005_l2,MiniBatchKMeans,40,100000,10000,100.0,40,0.0576753430068492,0.0386877469718456,5.609084650682839,30.95615301324035,89634.09375,42.91,-0.0401838202029466,-0.0199507074430584,0.009664021898061,0.0576070602983236,0.2081354007124901,9.891,23.269,31.775,565,2019.5,9891,0.9356599340928188,0.3745645000000002,0,0,0,20,0,,0.6465187850188248,0.6681015757707464,0.0,0.8308485183140071,0.8610424319639357,0.7053970576282207,1.0,0.7692307692307693,1.0,,,,,0.6465187850188248
text_pca128_lexical_w010,MiniBatchKMeans,32,100000,10000,100.0,32,0.0363379158079624,-0.0572214238345623,4.516699650889699,38.77877442231525,11484724.0,53.97,-0.0979612097144126,-0.0528478994965553,-0.0073265023529529,0.0545887304469943,0.1973289310932159,12.425,26.61,38.139,2,2681.5,12425,0.9034742993206852,0.4358656249999999,1,7,1,15,0,,0.6225519465381572,0.494201880597279,0.4499941855172181,0.6272777471010491,0.7718224758171345,0.6024140453547915,0.8157894736842105,0.8974358974358975,1.0,,,,,0.6225519465381572
text_pca256_lexical_w005_l2,MiniBatchKMeans,32,100000,10000,100.0,32,0.0474493093788623,0.0334989130496978,5.545906051550415,33.980114272064114,90796.25,54.1,-0.0457572352141141,-0.0272378642112016,-0.0052000908181071,0.0463154772296547,0.16979368776083,10.53,25.634,39.665,524,2102.0,10530,0.9089969635778592,0.440943125,0,0,1,16,0,,0.5927615149148536,0.5847595629701906,0.02602562490705908,0.6248849622676237,0.7871315373387415,0.6794277818418273,1.0,0.8717948717948718,1.0,,,,,0.5927615149148536
text_pca256_lexical_w003,MiniBatchKMeans,48,100000,10000,100.0,48,0.0352567732334136,-0.0967112034559249,5.4338163120327065,19.97211280515892,23606864.0,56.88999999999999,-0.0654155805706977,-0.0400512022897601,-0.0107548553496599,0.0584070486947894,0.214549095928669,9.95,24.423,35.928,1,1213.5,9950,0.8790595292164223,0.5260129166666667,3,11,1,27,2,,0.5073576738563522,0.4853905856646405,0.07219957552763688,0.5735321185348795,0.7041436888844452,0.7029992684711046,0.7105263157894737,0.5897435897435898,0.7777777777777778,,,,,0.5073576738563522
text_pca256_lexical_w003,MiniBatchKMeans,64,100000,10000,100.0,64,0.032177198678255,-0.0948194488883018,4.420009768144568,17.050535450799533,23216638.0,66.92,-0.0947884649038314,-0.0617595221847295,-0.0300571024417877,0.0276428642682731,0.232171419262886,9.025,20.877,30.637,77,630.5,9025,0.8608505053404486,0.5807859375,3,28,0,42,2,,0.48673113489099473,0.46029210160588824,0.4898243598988598,0.3889195656175225,0.6536674959122618,0.7405917255953831,0.2631578947368421,0.20512820512820512,0.7777777777777778,,,,,0.48673113489099473
text_pca256_lexical_w010,MiniBatchKMeans,48,100000,10000,100.0,48,0.0360748767852783,-0.0959601551294326,4.859636894686303,21.037862467569973,23567558.0,67.38,-0.0917182929813861,-0.0588852856308221,-0.0288529070094227,0.0333782825618982,0.2626232624053956,10.711,28.349000000000004,40.2,3,734.5,10711,0.8373284439407399,0.5987450000000001,4,14,0,32,4,,0.48320171846038346,0.49205811671060584,0.30872552498545014,0.3804527885146328,0.5884633356891618,0.672071852393725,0.631578947368421,0.46153846153846156,0.5555555555555556,,,,,0.48320171846038346
text_pca256_only,MiniBatchKMeans,48,100000,10000,100.0,48,0.0227597523480653,-0.098409853875637,5.326425273033014,19.31234424313022,23661178.0,62.08,-0.0835110053420066,-0.0516175385564565,-0.0194285977631807,0.0376915205270051,0.1729647681117058,7.95,21.306,32.871,1,1441.0,7950,0.8841211517760111,0.5145179166666667,4,13,0,27,1,,0.4821293512187751,0.38354006253072187,0.11643795589322721,0.47800478556966686,0.718174723101896,0.7842802568479232,0.6578947368421053,0.5897435897435898,0.8888888888888888,,,,,0.4821293512187751
text_pca256_lexical_w005,MiniBatchKMeans,48,100000,10000,100.0,48,0.0366846732795238,-0.0984436720609664,4.607733986967635,20.2378070114191,23527008.0,68.14,-0.0894392780959606,-0.0622765030711889,-0.0353351682424545,0.041224842891097,0.2527269631624224,13.43,36.785,52.67,2,669.0,13430,0.7937806499063687,0.6555129166666667,2,20,0,35,2,,0.4672146644550963,0.4970279485220378,0.41249374206069944,0.36646420025768445,0.4677469881153529,0.5615703486954402,0.47368421052631576,0.38461538461538464,0.7777777777777778,,,,,0.4672146644550963
