x,y
5.64953,20.084026
9.313054,-12.578174
16.527351,-1.77061
-8.005835,8.534143
-0.29131034,2.5576315
-7.6482134,8.001644
-13.049521,-5.479793
-3.073914,0.85286623
8.273082,-7.807349
14.340294,-5.8792567
8.351353,-5.9405646
-2.521578,-9.129455
-6.031585,10.322591
-2.9059534,-13.575727
-13.361441,3.1754017
6.506085,-5.6845093
2.7251189,15.663432
9.089912,-4.247448
5.8525214,-0.7876388
-2.2919178,13.32802
6.756292,3.549292
-3.7911186,-12.049983
9.35261,-7.5340424
-11.572963,-21.261929
-13.754493,6.047817
-2.697482,-3.5361946
0.81711704,5.792418
-8.311062,11.982097
-5.7848454,-18.07407
12.293435,-10.4419985
22.291561,15.730148
-1.8713323,-12.420678
4.342301,-13.587284
-2.6487782,8.08905
4.284198,-10.49808
4.761224,10.747654
5.261812,-11.434227
-8.269566,-8.607858
-7.810071,9.707099
6.6276865,2.2289503
-5.6939054,-13.091659
4.8118277,-4.8915195
12.681823,-10.34312
9.967422,-2.0132933
10.218239,-6.1772795
-7.797952,8.2804785
-12.563399,10.52796
-12.429987,-4.3819127
-11.929932,5.042661
3.4991124,-10.7061205
10.330321,-8.438592
3.1337054,-7.110026
0.05605101,7.0847325
18.752106,1.0744479
-14.873014,4.9999633
-11.124354,0.83748734
-2.9758613,8.765572
-12.430995,1.5554893
-7.438789,-13.030826
-5.989047,3.7161524
-12.002216,0.8167137
-3.7862508,-16.428009
17.65996,-7.9187555
6.39878,-7.4719768
3.9831872,3.8459046
5.580761,13.668966
6.224913,-11.728391
-0.205027,10.367129
0.79563975,-12.549276
3.254843,-8.119588
-22.187527,0.1427703
-18.861084,1.6819596
-0.56014216,-11.748078
7.708611,19.463543
-6.6915965,6.36502
13.821932,-4.8786345
-8.939876,9.477995
3.4212768,-3.2351446
4.097804,-9.572486
19.000486,-0.93249726
-9.669248,7.779466
2.0244806,8.8305235
6.99784,13.402352
7.3675346,-4.993945
1.798545,12.024488
-14.621272,3.1656833
-0.4842371,7.9277945
10.231674,-7.6078258
3.0728755,-4.0455813
8.130796,-13.460103
-5.427809,12.87723
-5.332179,7.5771704
2.3004482,-8.634104
-16.41976,4.1112485
-14.983892,7.374951
-4.59102,4.0908055
-17.189398,0.31388924
1.5817062,-4.410375
17.561287,2.3785472
-7.281932,-11.113037
1.6025047,-8.057181
-3.3427951,-2.537729
-10.2892885,-5.1301007
8.469335,-6.7256813
5.242274,-12.976368
17.919794,18.047232
-9.279052,8.524967
14.920989,4.2746797
-5.4229755,-11.359997
-8.609011,9.5459585
15.587265,-3.6900544
-11.2537565,-20.412788
3.6570878,13.257469
2.337472,-17.408747
-20.98434,0.9873212
-17.021109,-0.73985976
13.729658,-12.147015
-2.919447,-9.161681
8.686201,-1.3325115
33.228428,10.580603
1.774553,12.201736
2.5474882,-6.8651667
20.732634,3.5412576
-19.43568,-7.6060734
11.475688,8.454534
20.08305,-4.8522606
-2.8292816,-5.6472282
-3.3932328,9.347466
-6.1132536,-8.032106
2.9674678,19.600723
-3.653088,-1.1253718
20.032837,-5.510057
9.00138,-7.6959257
-0.2790686,6.2508907
-1.4329115,-9.45406
-12.183084,1.2631601
-1.0242087,7.5677886
-6.7771153,-3.9096837
18.937283,5.8982296
7.3599687,16.48814
-15.067454,0.99483997
7.1764455,-1.6949077
13.089823,-5.2630067
-0.4095026,-8.93115
-10.906499,2.6199713
22.845572,-5.9011636
7.7528677,0.24782619
2.3591099,9.631149
13.377053,15.674265
-5.172884,-15.416001
1.2151289,6.619423
4.67307,-8.247112
7.557384,17.554676
-1.1693146,-6.9631352
-4.393014,-2.9103417
7.6515465,-5.3304224
4.3705244,-9.2670555
-6.3368807,-14.939989
-7.6020427,-17.105396
0.30798423,7.422063
-5.5913763,11.758858
4.3997383,2.360946
11.562595,-11.349503
-0.65330803,-15.948179
-2.2581804,8.924464
-6.108267,-0.5675977
0.38988796,-6.8536763
2.252861,12.769534
-2.8650157,14.322802
-11.180346,4.4997644
-0.094069384,8.763271
15.455711,-2.0498662
-15.831605,2.3454225
12.981579,-4.3050756
-1.9503883,-9.336994
6.4477544,-3.234872
-3.6628,-11.491055
-4.234555,-14.856131
-6.2755847,11.416625
5.79906,16.254103
8.09012,1.8331443
7.359646,-3.4281738
-11.297274,2.5136724
27.415934,-1.242217
10.3954935,-3.5624957
-1.320759,-11.054539
-16.744541,6.090639
-6.778891,-17.08118
11.878421,-7.5355234
7.09316,-5.860973
1.5017864,17.683254
-14.594264,7.488364
-10.085681,7.020386
6.3503323,-4.616125
11.976657,-4.122824
6.387323,-7.4523487
-14.287265,8.388141
-8.454981,-0.082167044
-2.3036156,11.174649
-7.0837855,3.3527665
16.260208,-1.2506369
22.47314,16.983805
